Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2022-05-23,4,17000,1218,4 out of 8,Carpet Area,Ballygunge,Kolkata,Unfurnished,Family,5,Contact Owner
2024-02-14,3,37500,1483,7 out of 12,Built Area,Gachibowli,Hyderabad,Furnished,Bachelors/Family,2,Contact Builder
2022-10-24,1,17500,1292,1 out of 5,Super Area,Velachery,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-09-26,2,20000,1242,5 out of 7,Super Area,Gachibowli,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Agent
2022-09-08,5,68000,1466,6 out of 12,Super Area,Marathahalli,Bangalore,Semi-Furnished,Bachelors,6,Contact Builder
2023-10-06,1,50500,686,3 out of 6,Super Area,Thane,Mumbai,Semi-Furnished,Family,1,Contact Agent
2022-05-30,2,15500,1517,1 out of 2,Super Area,New Town,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2023-06-27,2,34000,812,Ground out of 3,Super Area,Jayanagar,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
2023-12-03,4,28000,1793,3 out of 6,Carpet Area,Salt Lake,Kolkata,Furnished,Bachelors,5,Contact Agent
2023-01-17,2,53500,1835,Ground out of 3,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-04-30,2,26500,1301,2 out of 3,Super Area,Adyar,Chennai,Furnished,Bachelors/Family,1,Contact Owner
2022-06-26,4,73500,1367,4 out of 7,Super Area,Janakpuri,Delhi,Furnished,Bachelors,4,Contact Owner
2022-05-14,2,14500,1402,1 out of 3,Super Area,Salt Lake,Kolkata,Unfurnished,Bachelors/Family,3,Contact Builder
2023-06-10,2,59000,793,Ground out of 6,Super Area,Andheri East,Mumbai,Furnished,Bachelors,1,Contact Agent
2022-07-30,1,10500,500,5 out of 10,Super Area,Gachibowli,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-12-27,4,26000,1087,7 out of 10,Carpet Area,Banjara Hills,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-07-16,4,79000,1438,3 out of 9,Carpet Area,Dwarka,Delhi,Semi-Furnished,Bachelors,5,Contact Owner
2022-07-09,2,47500,1138,2 out of 7,Built Area,Marathahalli,Bangalore,Furnished,Bachelors,3,Contact Builder
2022-05-07,3,32500,1386,2 out of 5,Super Area,Anna Nagar,Chennai,Furnished,Bachelors/Family,2,Contact Owner
2023-01-30,1,20000,1414,1 out of 2,Carpet Area,Adyar,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-13,2,50500,1220,9 out of 13,Carpet Area,Electronic City,Bangalore,Furnished,Family,3,Contact Owner
2023-06-20,4,93500,1062,Ground out of 4,Carpet Area,Kurla,Mumbai,Unfurnished,Bachelors/Family,4,Contact Owner
2022-12-13,3,17000,1257,Ground out of 2,Super Area,Salt Lake,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
2023-02-14,3,58500,1360,4 out of 10,Super Area,Vasant Kunj,Delhi,Furnished,Family,3,Contact Agent
2023-05-17,2,35000,1148,Ground out of 3,Super Area,Marathahalli,Bangalore,Unfurnished,Family,3,Contact Agent
2023-09-12,2,32500,1587,8 out of 12,Super Area,T Nagar,Chennai,Furnished,Bachelors,1,Contact Builder
2022-07-26,2,14500,1182,2 out of 6,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2023-03-17,3,66500,1677,7 out of 8,Super Area,Koramangala,Bangalore,Semi-Furnished,Bachelors,3,Contact Builder
2023-12-25,2,59000,992,6 out of 9,Super Area,Kurla,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2023-07-07,2,36500,791,4 out of 10,Carpet Area,Pitampura,Delhi,Furnished,Bachelors/Family,1,Contact Agent
2024-02-24,2,19000,1001,3 out of 6,Super Area,Jubilee Hills,Hyderabad,Unfurnished,Bachelors,3,Contact Owner
2022-12-16,2,42000,1156,4 out of 10,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-03-28,1,16000,1097,3 out of 8,Super Area,Anna Nagar,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2023-06-12,1,10000,1089,6 out of 11,Super Area,Dum Dum,Kolkata,Furnished,Bachelors/Family,1,Contact Agent
2022-04-13,2,19000,939,3 out of 7,Carpet Area,Perambur,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-07-26,3,14500,947,2 out of 6,Super Area,New Town,Kolkata,Semi-Furnished,Family,3,Contact Agent
2024-01-31,3,35000,1849,5 out of 10,Super Area,Mylapore,Chennai,Unfurnished,Bachelors,2,Contact Owner
2022-03-20,3,109500,1056,2 out of 5,Carpet Area,Thane,Mumbai,Furnished,Bachelors/Family,4,Contact Owner
2023-04-10,3,15000,1354,1 out of 6,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,4,Contact Agent
2023-04-24,3,13500,1125,1 out of 7,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2023-04-19,4,54000,1263,3 out of 6,Built Area,Koramangala,Bangalore,Unfurnished,Family,5,Contact Builder
2022-10-01,2,42000,1134,3 out of 7,Super Area,Rohini,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner
2023-04-21,3,57500,1391,1 out of 4,Super Area,Koramangala,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
2023-11-06,3,28000,1663,1 out of 4,Super Area,T Nagar,Chennai,Semi-Furnished,Family,3,Contact Owner
2022-03-07,2,11000,398,1 out of 4,Carpet Area,Gachibowli,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2024-01-23,4,26500,1042,1 out of 6,Carpet Area,Velachery,Chennai,Semi-Furnished,Bachelors/Family,5,Contact Builder
2023-09-07,4,26500,1067,6 out of 8,Super Area,Jubilee Hills,Hyderabad,Semi-Furnished,Bachelors,5,Contact Agent
2022-05-28,3,120500,1245,7 out of 9,Carpet Area,Worli,Mumbai,Furnished,Bachelors,3,Contact Owner
2022-11-21,2,52500,845,4 out of 5,Super Area,Malad,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-01-22,2,25500,1020,4 out of 7,Super Area,Jubilee Hills,Hyderabad,Furnished,Bachelors/Family,3,Contact Agent
2023-07-20,5,23500,1106,4 out of 7,Super Area,Behala,Kolkata,Furnished,Bachelors,6,Contact Agent
2022-09-19,2,23500,1235,2 out of 6,Carpet Area,Nungambakkam,Chennai,Semi-Furnished,Family,3,Contact Owner
2023-02-21,1,33000,1055,6 out of 12,Super Area,Jayanagar,Bangalore,Furnished,Family,1,Contact Owner
2022-06-14,2,78000,1289,4 out of 5,Super Area,Malad,Mumbai,Unfurnished,Family,1,Contact Agent
2023-10-19,2,13000,1181,4 out of 5,Carpet Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors,1,Contact Builder
2022-06-11,2,11000,1057,3 out of 4,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-17,2,40000,1041,2 out of 8,Carpet Area,Hauz Khas,Delhi,Unfurnished,Family,3,Contact Agent
2023-08-08,2,23500,728,2 out of 6,Super Area,Indiranagar,Bangalore,Unfurnished,Bachelors,3,Contact Owner
2022-06-22,1,33500,1381,1 out of 7,Built Area,Pitampura,Delhi,Unfurnished,Bachelors,1,Contact Agent
2023-06-23,2,64000,822,Ground out of 6,Super Area,Dadar,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Builder
2023-01-27,3,26000,1166,1 out of 5,Super Area,Porur,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner
2022-01-30,2,43000,1279,1 out of 3,Carpet Area,Karol Bagh,Delhi,Semi-Furnished,Family,1,Contact Owner
2022-05-17,5,84000,2147,Ground out of 4,Carpet Area,Marathahalli,Bangalore,Semi-Furnished,Family,4,Contact Owner
2022-03-02,5,78500,1722,Ground out of 5,Carpet Area,Electronic City,Bangalore,Semi-Furnished,Bachelors,5,Contact Agent
2022-01-06,2,99000,1315,4 out of 5,Carpet Area,Dadar,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-06-23,2,43500,1149,3 out of 6,Built Area,Koramangala,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2022-02-15,2,21500,1332,1 out of 4,Super Area,HITEC City,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-18,2,54000,1653,3 out of 7,Carpet Area,Vasant Kunj,Delhi,Semi-Furnished,Family,2,Contact Owner
2022-02-25,3,41500,1150,Ground out of 2,Carpet Area,Marathahalli,Bangalore,Unfurnished,Bachelors/Family,3,Contact Builder
2023-12-28,2,31000,712,Ground out of 3,Built Area,Pitampura,Delhi,Furnished,Bachelors,2,Contact Owner
2022-06-22,2,31500,1562,6 out of 8,Super Area,HITEC City,Hyderabad,Furnished,Bachelors,2,Contact Owner
2022-07-04,2,11500,875,3 out of 8,Built Area,Park Street,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
2022-04-19,4,38000,1859,2 out of 7,Super Area,Adyar,Chennai,Unfurnished,Bachelors,3,Contact Builder
2022-12-04,2,45500,1438,3 out of 4,Carpet Area,Electronic City,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
2023-10-22,3,84000,754,Ground out of 1,Built Area,Dadar,Mumbai,Furnished,Bachelors,3,Contact Agent
2022-04-02,2,36000,1043,1 out of 5,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
2023-03-19,4,128000,1562,Ground out of 4,Built Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2023-04-02,3,19500,1446,3 out of 7,Super Area,New Town,Kolkata,Unfurnished,Bachelors,3,Contact Owner
2022-04-06,2,21500,1034,2 out of 6,Super Area,Velachery,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-03-27,2,72000,1004,3 out of 8,Built Area,Navi Mumbai,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2023-03-14,2,47500,1598,5 out of 10,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2023-08-06,3,66000,1421,2 out of 8,Super Area,HSR Layout,Bangalore,Furnished,Bachelors/Family,4,Contact Owner
2022-02-16,2,40500,1030,5 out of 9,Carpet Area,Indiranagar,Bangalore,Furnished,Bachelors,3,Contact Owner
2022-07-11,2,56500,728,5 out of 8,Carpet Area,Dadar,Mumbai,Furnished,Bachelors,3,Contact Agent
2022-01-14,2,42500,1665,Ground out of 1,Super Area,Dwarka,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2023-01-05,3,47000,1148,1 out of 6,Carpet Area,Pitampura,Delhi,Semi-Furnished,Family,3,Contact Builder
2023-12-14,3,18000,1402,Ground out of 1,Super Area,Salt Lake,Kolkata,Semi-Furnished,Family,4,Contact Owner
2024-02-28,4,65500,1570,1 out of 4,Carpet Area,Janakpuri,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner
2023-08-23,1,19500,1066,2 out of 6,Carpet Area,Nungambakkam,Chennai,Furnished,Bachelors/Family,1,Contact Owner
2024-01-25,2,41000,1020,8 out of 12,Super Area,Karol Bagh,Delhi,Unfurnished,Bachelors/Family,3,Contact Owner
2023-05-15,3,30500,1462,3 out of 9,Super Area,Kondapur,Hyderabad,Unfurnished,Bachelors/Family,4,Contact Owner
2023-05-22,3,73500,1395,6 out of 7,Super Area,Karol Bagh,Delhi,Furnished,Bachelors,4,Contact Agent
2023-06-04,4,33500,1486,2 out of 4,Carpet Area,Jubilee Hills,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Owner
2023-12-30,3,59000,1321,6 out of 12,Carpet Area,Lajpat Nagar,Delhi,Furnished,Bachelors,4,Contact Builder
2023-12-09,5,40500,1430,3 out of 6,Built Area,Velachery,Chennai,Semi-Furnished,Bachelors/Family,6,Contact Agent
2022-11-07,1,15000,1441,7 out of 11,Super Area,Ballygunge,Kolkata,Furnished,Bachelors/Family,1,Contact Agent
2022-02-02,2,44500,1176,5 out of 10,Carpet Area,Lajpat Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2024-02-28,2,92500,1050,5 out of 6,Super Area,Malad,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2023-04-14,2,20500,1365,7 out of 11,Super Area,Gachibowli,Hyderabad,Unfurnished,Family,1,Contact Agent
2022-05-01,5,141500,1538,Ground out of 6,Carpet Area,Navi Mumbai,Mumbai,Semi-Furnished,Family,6,Contact Owner
2022-12-09,4,76000,1691,1 out of 4,Super Area,Rohini,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-06-25,1,27000,931,2 out of 7,Super Area,Pitampura,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-05-22,2,58000,937,2 out of 4,Super Area,Navi Mumbai,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2024-01-05,2,20000,1054,2 out of 3,Carpet Area,T Nagar,Chennai,Unfurnished,Family,2,Contact Agent
2023-10-19,4,51500,1947,4 out of 10,Super Area,Jubilee Hills,Hyderabad,Furnished,Bachelors/Family,3,Contact Agent
2023-12-19,4,48000,995,2 out of 8,Carpet Area,Vasant Kunj,Delhi,Unfurnished,Family,3,Contact Agent
2023-12-19,4,40500,1800,3 out of 5,Super Area,Madhapur,Hyderabad,Semi-Furnished,Family,5,Contact Owner
2023-02-19,2,20500,1197,6 out of 12,Super Area,Perambur,Chennai,Unfurnished,Bachelors,1,Contact Agent
2022-10-18,4,66500,1110,3 out of 8,Carpet Area,Lajpat Nagar,Delhi,Furnished,Bachelors/Family,3,Contact Agent
2024-03-03,1,36500,936,3 out of 5,Super Area,Janakpuri,Delhi,Furnished,Bachelors/Family,2,Contact Agent
2022-05-08,3,45000,993,Ground out of 6,Carpet Area,Jayanagar,Bangalore,Furnished,Bachelors/Family,4,Contact Owner
2023-11-14,2,28000,1471,2 out of 5,Carpet Area,Anna Nagar,Chennai,Furnished,Bachelors/Family,3,Contact Owner
2023-04-11,3,20000,1828,1 out of 4,Super Area,Howrah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
2023-01-14,1,54500,926,1 out of 2,Carpet Area,Thane,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2023-12-07,2,8500,764,2 out of 6,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors,3,Contact Builder
2023-06-26,3,22000,871,8 out of 13,Carpet Area,Velachery,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner
2022-04-23,3,99000,972,3 out of 7,Super Area,Andheri East,Mumbai,Semi-Furnished,Bachelors,3,Contact Builder
2022-05-27,2,74000,848,1 out of 2,Built Area,Juhu,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-12-24,3,79000,1641,Ground out of 5,Super Area,Pitampura,Delhi,Furnished,Family,3,Contact Builder
2023-09-13,4,148500,1745,2 out of 8,Super Area,Borivali,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
2023-11-12,3,59000,1496,Ground out of 5,Super Area,Hauz Khas,Delhi,Semi-Furnished,Bachelors,4,Contact Agent
2022-04-01,2,23000,1431,4 out of 10,Carpet Area,Jubilee Hills,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2023-07-09,3,42500,980,Ground out of 5,Carpet Area,Janakpuri,Delhi,Semi-Furnished,Bachelors,4,Contact Owner
2022-01-20,3,29000,1257,7 out of 9,Super Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors,4,Contact Agent
2023-05-19,3,56000,1468,2 out of 3,Super Area,Jayanagar,Bangalore,Unfurnished,Family,2,Contact Agent
2022-06-22,2,81500,1012,8 out of 13,Super Area,Andheri East,Mumbai,Semi-Furnished,Family,1,Contact Owner
2022-07-05,1,21000,677,3 out of 6,Carpet Area,Koramangala,Bangalore,Unfurnished,Bachelors/Family,1,Contact Builder
2022-02-23,3,71000,930,7 out of 8,Super Area,Borivali,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2023-04-21,2,39000,1066,1 out of 4,Super Area,Rohini,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-04-14,2,35500,1659,8 out of 14,Super Area,Madhapur,Hyderabad,Furnished,Bachelors,2,Contact Builder
2023-01-18,3,44500,923,1 out of 3,Super Area,Janakpuri,Delhi,Unfurnished,Bachelors/Family,4,Contact Owner
2022-10-24,5,52500,1928,5 out of 10,Super Area,Gachibowli,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Builder
2023-10-10,5,25500,1482,2 out of 5,Super Area,Dum Dum,Kolkata,Furnished,Family,4,Contact Owner
2022-05-24,3,61500,1105,2 out of 3,Super Area,Rohini,Delhi,Furnished,Bachelors/Family,4,Contact Agent
2022-09-25,3,22500,1875,7 out of 13,Carpet Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2022-05-17,2,11000,1043,Ground out of 6,Built Area,New Town,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2023-07-06,4,18500,1472,4 out of 8,Super Area,Dum Dum,Kolkata,Semi-Furnished,Family,5,Contact Agent
2023-01-21,3,94000,1190,4 out of 7,Carpet Area,Thane,Mumbai,Semi-Furnished,Bachelors,4,Contact Builder
2022-01-10,2,17500,1045,7 out of 11,Super Area,Banjara Hills,Hyderabad,Unfurnished,Family,1,Contact Builder
2022-08-28,3,55000,1353,5 out of 7,Carpet Area,Vasant Kunj,Delhi,Semi-Furnished,Bachelors,3,Contact Owner
2023-02-10,5,31000,1225,9 out of 15,Super Area,Anna Nagar,Chennai,Furnished,Family,4,Contact Agent
2022-06-29,4,125500,1223,4 out of 9,Carpet Area,Kurla,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Owner
2022-07-16,3,122000,1525,4 out of 7,Super Area,Navi Mumbai,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2023-11-21,1,9500,889,7 out of 13,Carpet Area,Park Street,Kolkata,Semi-Furnished,Bachelors,2,Contact Agent
2024-02-17,1,8500,770,2 out of 7,Carpet Area,Ballygunge,Kolkata,Semi-Furnished,Family,1,Contact Owner
2023-08-09,4,152000,1421,1 out of 2,Super Area,Borivali,Mumbai,Furnished,Family,3,Contact Agent
2023-10-04,5,118000,1324,1 out of 2,Super Area,Powai,Mumbai,Unfurnished,Bachelors/Family,4,Contact Owner
2023-04-30,1,8000,806,1 out of 2,Built Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2023-04-03,5,68500,1386,4 out of 10,Super Area,Pitampura,Delhi,Unfurnished,Bachelors,4,Contact Owner
2022-02-26,1,17000,1353,Ground out of 4,Carpet Area,Kukatpally,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Builder
2024-02-10,3,67000,1707,2 out of 7,Super Area,BTM Layout,Bangalore,Furnished,Bachelors,3,Contact Agent
2022-04-14,2,19500,1233,6 out of 11,Super Area,Mylapore,Chennai,Unfurnished,Bachelors,3,Contact Agent
2022-03-11,3,26500,532,Ground out of 6,Super Area,HSR Layout,Bangalore,Unfurnished,Bachelors/Family,4,Contact Owner
2022-07-10,3,29500,1538,4 out of 8,Super Area,Jubilee Hills,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Agent
2024-03-05,1,36000,988,1 out of 6,Built Area,Hauz Khas,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2023-07-27,1,19000,532,Ground out of 5,Super Area,Lajpat Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Builder
2023-12-10,2,64500,1188,4 out of 10,Super Area,Worli,Mumbai,Unfurnished,Bachelors,1,Contact Owner
2022-02-13,3,23500,1453,1 out of 5,Super Area,Perambur,Chennai,Unfurnished,Bachelors,3,Contact Owner
2024-01-28,2,25000,1389,4 out of 7,Super Area,Nungambakkam,Chennai,Semi-Furnished,Bachelors,1,Contact Agent
2022-07-19,2,15000,723,Ground out of 4,Super Area,Adyar,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2023-07-22,3,16500,1089,4 out of 7,Super Area,New Town,Kolkata,Furnished,Bachelors/Family,3,Contact Owner
2022-12-13,2,53500,1146,2 out of 3,Carpet Area,Lajpat Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-05-02,2,35500,805,6 out of 7,Super Area,Karol Bagh,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-02-17,4,67000,1450,8 out of 10,Super Area,Karol Bagh,Delhi,Unfurnished,Bachelors/Family,3,Contact Owner
2023-08-22,3,34000,1364,6 out of 11,Carpet Area,Banjara Hills,Hyderabad,Furnished,Bachelors/Family,4,Contact Owner
2024-02-09,2,17500,975,4 out of 10,Super Area,Mylapore,Chennai,Unfurnished,Bachelors,1,Contact Agent
2022-10-02,2,15000,857,7 out of 11,Carpet Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2023-03-12,2,27000,1325,2 out of 5,Super Area,HITEC City,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Builder
2023-04-22,3,17500,603,1 out of 2,Super Area,Perambur,Chennai,Furnished,Bachelors/Family,3,Contact Agent
2023-03-29,3,38000,1501,2 out of 4,Super Area,Banjara Hills,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-04-11,2,40000,1095,5 out of 7,Super Area,Rohini,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Builder
2023-12-24,1,58500,824,5 out of 7,Super Area,Kurla,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2023-02-20,5,36500,1349,2 out of 6,Super Area,Kukatpally,Hyderabad,Semi-Furnished,Family,6,Contact Owner
2024-02-07,3,24500,1160,1 out of 7,Super Area,Jubilee Hills,Hyderabad,Semi-Furnished,Bachelors,2,Contact Agent
2022-07-12,2,48000,1124,5 out of 8,Carpet Area,Hauz Khas,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-11-09,3,30000,1463,3 out of 5,Super Area,Velachery,Chennai,Semi-Furnished,Bachelors/Family,4,Contact Builder
2023-07-05,1,8000,982,4 out of 10,Carpet Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2023-09-15,2,45500,1404,3 out of 8,Built Area,Jayanagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2023-10-17,4,49000,1374,1 out of 5,Super Area,Gachibowli,Hyderabad,Furnished,Bachelors/Family,4,Contact Agent
2023-01-31,1,30500,1109,1 out of 2,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Builder
2023-02-05,2,39500,1012,1 out of 5,Super Area,Indiranagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-11-14,5,64500,1481,Ground out of 2,Built Area,Saket,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Owner
2022-05-27,3,31000,1654,1 out of 2,Carpet Area,Nungambakkam,Chennai,Semi-Furnished,Bachelors,4,Contact Builder
2022-02-10,1,24500,1719,2 out of 7,Carpet Area,Nungambakkam,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2023-03-02,1,9500,935,2 out of 4,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
2022-09-03,2,45000,1108,2 out of 3,Super Area,Rohini,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Builder
2024-02-20,2,42000,1225,6 out of 10,Carpet Area,Saket,Delhi,Semi-Furnished,Bachelors,3,Contact Owner
2023-06-03,1,19000,870,1 out of 3,Super Area,Jubilee Hills,Hyderabad,Furnished,Bachelors/Family,1,Contact Agent
2022-02-08,2,65000,906,5 out of 9,Super Area,Borivali,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
2022-09-06,2,52500,751,Ground out of 6,Super Area,Andheri East,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2022-05-08,5,27000,2168,Ground out of 3,Carpet Area,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,4,Contact Owner
2022-02-05,3,36500,1317,1 out of 7,Super Area,Banjara Hills,Hyderabad,Furnished,Bachelors,2,Contact Agent
2023-02-04,2,14500,1166,4 out of 5,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Family,2,Contact Builder
2022-07-24,2,11500,871,2 out of 4,Super Area,Salt Lake,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2023-11-12,1,52500,823,7 out of 8,Carpet Area,Worli,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2023-02-09,3,72500,1542,3 out of 8,Carpet Area,Saket,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-08-14,1,22000,1305,2 out of 6,Carpet Area,T Nagar,Chennai,Furnished,Bachelors/Family,1,Contact Owner
2022-04-15,3,90000,1158,4 out of 8,Super Area,Juhu,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-17,2,15500,1291,2 out of 8,Built Area,Dum Dum,Kolkata,Furnished,Family,3,Contact Agent
2024-01-30,2,50500,1190,2 out of 8,Super Area,Marathahalli,Bangalore,Furnished,Family,3,Contact Agent
2024-02-15,2,32500,808,1 out of 5,Carpet Area,Vasant Kunj,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2023-09-05,3,66500,1578,1 out of 7,Super Area,Dwarka,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2024-02-08,3,20000,681,3 out of 6,Super Area,Mylapore,Chennai,Furnished,Bachelors/Family,3,Contact Agent
2023-12-14,2,97500,1314,9 out of 15,Built Area,Kurla,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-02-23,2,10500,890,Ground out of 2,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2023-03-13,5,33000,1802,1 out of 2,Carpet Area,Salt Lake,Kolkata,Furnished,Bachelors/Family,4,Contact Agent
2022-07-26,2,12500,1118,3 out of 9,Super Area,New Town,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2024-01-23,4,60500,1262,2 out of 7,Super Area,Marathahalli,Bangalore,Furnished,Family,4,Contact Owner
2023-07-21,3,39500,1876,3 out of 5,Carpet Area,Porur,Chennai,Furnished,Bachelors/Family,3,Contact Builder
2023-04-26,2,18000,1555,2 out of 8,Carpet Area,Park Street,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2024-01-31,2,53000,1369,7 out of 11,Super Area,Karol Bagh,Delhi,Furnished,Family,1,Contact Agent
2022-06-16,2,42000,1261,2 out of 7,Super Area,HSR Layout,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
2023-01-30,3,41000,956,4 out of 10,Carpet Area,Hauz Khas,Delhi,Unfurnished,Bachelors,3,Contact Owner
2022-06-01,3,25000,982,4 out of 10,Carpet Area,T Nagar,Chennai,Semi-Furnished,Family,2,Contact Owner
2023-10-22,3,51500,1120,Ground out of 1,Carpet Area,Indiranagar,Bangalore,Furnished,Bachelors/Family,4,Contact Agent
2022-09-16,4,20500,1514,1 out of 5,Built Area,Ballygunge,Kolkata,Semi-Furnished,Family,4,Contact Owner
2023-10-14,2,15000,1366,6 out of 7,Super Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
2023-05-19,3,27000,1580,1 out of 3,Carpet Area,Kondapur,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-18,1,61500,901,2 out of 8,Super Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-09-23,2,29500,809,4 out of 6,Super Area,Dwarka,Delhi,Unfurnished,Bachelors/Family,3,Contact Builder
